CUSTOMER_CODE,INVOICE_CODE,AMOUNT,DATE
982290155564471045195710120646,928826159790807DOFIbKspyRXqVYz,12.34,18-Oct-2019
390531832323618449107724921104,940100768722954LlTeJGChzroOtXd,74.47,09-Apr-2020
462628764072996206401133138238,885306689661603ETgOaicMUYBRGjv,92.46,21-Nov-2019
199709323453252872967135683972,518507768543519YwUTIDgSqaXOPrj,64.16,17-Jun-2020
472115223278843662577855047347,125849328448291vBtdUjhbzsXxDlq,95.51,19-Jul-2020
783220141250687454624071636385,855474598612788tqdDjwpyBTrhQem,35.96,02-Sep-2019
150336042860135171030374179312,643314901159315NBzWqbwfQmsDkKH,54.03,27-Apr-2020
314664898659815655155375555169,436917192594392bltZfwgrjTNchLA,90.9,14-Oct-2019
599096349039354685535174146837,621602446132829kVtoUmxIsPBWXAw,85.82,06-May-2020
539727912619437643564374495974,760795891418027WQyhgHCfovlDBLw,33.27,03-Dec-2019
